customer_unique_id,is_churn,recency_obs,frequency_obs,ticket_prom,avg_items,avg_freight,freight_ratio,n_sellers,avg_cuotas,max_cuotas,lead_time_prom,delay_max,pct_boleto,pct_credito,pct_finde,n_categorias,review_score,reg_CentroOeste,reg_Nordeste,reg_Norte,reg_Sudeste,reg_Sur
863519c4448dfc98d4174ffe6ad98443,1,114.0,1.0,85.8,1.0,7.8,0.09999999999999999,1.0,2.0,2.0,4.0,-7.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
6bea8409472dada0b34361d8da8737a4,1,192.0,1.0,85.85,1.0,12.85,0.17602739726027397,1.0,1.0,1.0,14.0,-2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
5f2971f9805e3ccb030226e30c8e8390,1,239.0,1.0,30.95,1.0,10.96,0.5482741370685343,1.0,1.0,1.0,2.0,-14.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
8d683e4913e8e224595a5c273dac554a,1,17.0,1.0,206.74,1.0,27.57,0.15387620695428925,1.0,1.0,1.0,17.0,-9.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
46f15c2526277c2f9cfa6b239dfb11b3,1,189.0,1.0,115.28,2.0,30.3,0.3565544834078607,1.0,3.0,3.0,5.0,-25.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
52c7d7c1f37b0c0772bcebe5fa463b15,1,134.0,1.0,128.6,1.0,23.6,0.22476190476190477,1.0,5.0,5.0,6.0,-21.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
ee04cc9bca4c9198bec5c54c2542dd3b,0,154.0,1.0,87.71,1.0,7.81,0.09774718397997496,1.0,1.0,1.0,6.0,-6.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
9b9995f70b71bec634605d4cf20545a5,1,86.0,1.0,89.17,1.0,16.27,0.2231824417009602,1.0,1.0,1.0,11.0,-18.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0
cb03e9127f7cba4b431f006b86e4905c,1,31.0,1.0,864.98,1.0,184.98,0.27202941176470585,1.0,1.0,1.0,38.0,-2.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0
efd53715921c90de9972cfdc6c3c392d,1,41.0,1.0,57.8,1.0,11.85,0.2578890097932535,1.0,2.0,2.0,7.0,-18.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
e9b896c3563bfaf5ddc052892c06923f,1,107.0,1.0,112.43,1.0,15.43,0.1590721649484536,1.0,2.0,2.0,14.0,-10.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0
b247ff09a6f40212ba12b4aa0c533f88,1,41.0,1.0,115.44,1.0,15.45,0.1545154515451545,1.0,1.0,1.0,26.0,-2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
3509c8111bbacb04f27aa58752d99b47,1,200.0,1.0,177.32,4.0,107.12,1.525925925925926,1.0,1.0,1.0,23.0,-18.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
